Size of Subscriptions,Time Taken (seconds),Size of pk (bytes)
10,0.023293018341064453,224
10,0.031032323837280273,224
10,0.02542877197265625,224
10,0.03380227088928223,224
10,0.03389549255371094,224
10,0.020336627960205078,224
10,0.024602174758911133,224
10,0.018588781356811523,224
10,0.023941516876220703,224
10,0.018189430236816406,224
10,0.02913212776184082,224
10,0.016414880752563477,224
10,0.015152454376220703,224
10,0.013950586318969727,224
10,0.014660120010375977,224
10,0.014325618743896484,224
10,0.022931814193725586,224
10,0.01932048797607422,224
10,0.018164873123168945,224
10,0.01886916160583496,224
10,0.022310256958007812,224
10,0.022973060607910156,224
10,0.02827739715576172,224
10,0.014567375183105469,224
10,0.010496139526367188,224
10,0.010885238647460938,224
10,0.011825084686279297,224
10,0.010461807250976562,224
10,0.010846614837646484,224
10,0.010750532150268555,224
10,0.010389089584350586,224
10,0.009249448776245117,224
10,0.009191751480102539,224
10,0.00938272476196289,224
10,0.009746313095092773,224
10,0.009295940399169922,224
10,0.009331941604614258,224
10,0.009282827377319336,224
10,0.009289979934692383,224
10,0.009269475936889648,224
10,0.010280370712280273,224
10,0.009939193725585938,224
10,0.00981903076171875,224
10,0.009732723236083984,224
10,0.009505510330200195,224
10,0.009428024291992188,224
10,0.009316444396972656,224
10,0.009638547897338867,224
10,0.00945591926574707,224
10,0.009128093719482422,224
10,0.009232282638549805,224
10,0.009367942810058594,224
10,0.011546134948730469,224
10,0.010366201400756836,224
10,0.012695789337158203,224
10,0.012636184692382812,224
10,0.016417741775512695,224
10,0.011081218719482422,224
10,0.012331247329711914,224
20,0.036661386489868164,384
20,0.03258943557739258,384
20,0.02545309066772461,384
20,0.04143500328063965,384
20,0.023968219757080078,384
20,0.02152705192565918,384
20,0.025536060333251953,384
20,0.019532203674316406,384
20,0.019909381866455078,384
20,0.018949031829833984,384
20,0.024913549423217773,384
20,0.02426457405090332,384
20,0.020819425582885742,384
20,0.020815610885620117,384
20,0.020345687866210938,384
20,0.021374940872192383,384
20,0.025767803192138672,384
20,0.020723819732666016,384
20,0.02224278450012207,384
20,0.019316911697387695,384
20,0.021082639694213867,384
20,0.018502473831176758,384
20,0.017756938934326172,384
20,0.018036365509033203,384
20,0.01806354522705078,384
20,0.017536640167236328,384
20,0.01949024200439453,384
20,0.01791548728942871,384
20,0.018035888671875,384
20,0.01866936683654785,384
20,0.01774120330810547,384
20,0.017943143844604492,384
20,0.02130270004272461,384
20,0.01852273941040039,384
20,0.01826000213623047,384
20,0.018678665161132812,384
20,0.023536205291748047,384
20,0.019754648208618164,384
20,0.02279067039489746,384
20,0.019603252410888672,384
20,0.0221405029296875,384
20,0.020580530166625977,384
20,0.023581743240356445,384
20,0.022365093231201172,384
20,0.023595809936523438,384
20,0.021305561065673828,384
20,0.019278287887573242,384
20,0.02387261390686035,384
20,0.019159793853759766,384
20,0.018087148666381836,384
20,0.017575740814208984,384
20,0.017913818359375,384
20,0.01754474639892578,384
20,0.01746678352355957,384
20,0.01753091812133789,384
20,0.017399311065673828,384
20,0.019257783889770508,384
20,0.018134117126464844,384
20,0.01824808120727539,384
20,0.017710447311401367,384
20,0.017440319061279297,384
20,0.017572879791259766,384
20,0.01749420166015625,384
20,0.017486572265625,384
20,0.017771482467651367,384
20,0.017507314682006836,384
20,0.01732921600341797,384
20,0.017567157745361328,384
20,0.017563819885253906,384
20,0.020250797271728516,384
20,0.023876190185546875,384
20,0.02133965492248535,384
20,0.021054983139038086,384
20,0.020334720611572266,384
20,0.020403385162353516,384
20,0.02022075653076172,384
20,0.0199277400970459,384
20,0.019259214401245117,384
20,0.01772141456604004,384
20,0.0179135799407959,384
20,0.017753124237060547,384
20,0.01807403564453125,384
20,0.017765283584594727,384
20,0.017559528350830078,384
20,0.017681360244750977,384
20,0.01782512664794922,384
20,0.01799631118774414,384
20,0.018032312393188477,384
20,0.02086472511291504,384
20,0.018380165100097656,384
20,0.018159866333007812,384
20,0.01854085922241211,384
20,0.018215417861938477,384
20,0.017963647842407227,384
20,0.01809215545654297,384
20,0.017592906951904297,384
20,0.020210742950439453,384
20,0.018697500228881836,384
20,0.018590688705444336,384
20,0.018999814987182617,384
40,0.03821158409118652,704
40,0.041397809982299805,704
40,0.07280993461608887,704
40,0.04549002647399902,704
40,0.04696011543273926,704
40,0.044826507568359375,704
40,0.04222393035888672,704
40,0.038619279861450195,704
40,0.03896450996398926,704
40,0.039330244064331055,704
40,0.03711962699890137,704
40,0.03524470329284668,704
40,0.03473949432373047,704
40,0.03632330894470215,704
40,0.03927469253540039,704
40,0.03917264938354492,704
40,0.03871655464172363,704
40,0.041136980056762695,704
40,0.037160396575927734,704
40,0.035742998123168945,704
40,0.03553962707519531,704
40,0.03486776351928711,704
40,0.0355985164642334,704
40,0.04037904739379883,704
40,0.03705763816833496,704
40,0.035375356674194336,704
40,0.03629422187805176,704
40,0.03439664840698242,704
40,0.03432488441467285,704
40,0.03518795967102051,704
40,0.03447079658508301,704
40,0.03490042686462402,704
40,0.03478193283081055,704
40,0.03417396545410156,704
40,0.03458595275878906,704
40,0.03486514091491699,704
40,0.03449225425720215,704
40,0.036896467208862305,704
40,0.03523540496826172,704
40,0.03508567810058594,704
40,0.03385281562805176,704
40,0.03534722328186035,704
40,0.03509211540222168,704
40,0.03387260437011719,704
40,0.03413200378417969,704
40,0.0379176139831543,704
40,0.03995060920715332,704
40,0.03896951675415039,704
40,0.03949689865112305,704
40,0.039028167724609375,704
40,0.03881192207336426,704
40,0.036359548568725586,704
40,0.03472733497619629,704
40,0.035007476806640625,704
40,0.03484916687011719,704
40,0.03549695014953613,704
40,0.03515625,704
40,0.03679227828979492,704
40,0.034708499908447266,704
40,0.03545713424682617,704
40,0.034723758697509766,704
40,0.03548741340637207,704
40,0.03493857383728027,704
40,0.034575462341308594,704
40,0.03589653968811035,704
40,0.036890268325805664,704
40,0.03532242774963379,704
40,0.03418445587158203,704
40,0.0346372127532959,704
40,0.03496098518371582,704
40,0.03500032424926758,704
40,0.03429007530212402,704
40,0.03438162803649902,704
40,0.03503537178039551,704
40,0.03676414489746094,704
40,0.035723209381103516,704
40,0.03460693359375,704
40,0.03490614891052246,704
40,0.051096439361572266,704
40,0.03728914260864258,704
40,0.037133216857910156,704
40,0.03490805625915527,704
40,0.034628868103027344,704
40,0.03439927101135254,704
40,0.038564443588256836,704
40,0.04310274124145508,704
40,0.036899566650390625,704
40,0.037362098693847656,704
40,0.036737918853759766,704
40,0.03545236587524414,704
40,0.03587055206298828,704
40,0.03587174415588379,704
40,0.03812837600708008,704
40,0.039099931716918945,704
40,0.035193443298339844,704
40,0.035161733627319336,704
40,0.03433966636657715,704
40,0.03483152389526367,704
40,0.03503847122192383,704
40,0.03429460525512695,704
